iter	AUC	CrossEntropy	AUC
385	0.9602360599	0.5230310726	0.9602360599
386	0.9602852684	0.5226777116	0.9602852684
387	0.960299328	0.5223945518	0.960299328
388	0.9602712088	0.5221582011	0.9602712088
389	0.9603836853	0.5217389496	0.9603836853
390	0.9603098726	0.5214449946	0.9603098726
391	0.9603731406	0.5210572579	0.9603731406
392	0.9604047746	0.5206536098	0.9604047746
393	0.9603977448	0.5202708056	0.9603977448
394	0.9605277957	0.5198515064	0.9605277957
395	0.9605734893	0.5195847878	0.9605734893
396	0.9606226977	0.5191360109	0.9606226977
397	0.9606543317	0.5187837719	0.9606543317
398	0.9607000253	0.5184305352	0.9607000253
399	0.9607000253	0.5181145422	0.9607000253
400	0.9607246295	0.5178723352	0.9607246295
401	0.9607211146	0.5176798128	0.9607211146
402	0.9608511655	0.5174180747	0.9608511655
403	0.9608968591	0.5169717533	0.9608968591
404	0.9608863144	0.5167625513	0.9608863144
405	0.9608898293	0.5165451262	0.9608898293
406	0.960932008	0.5162253464	0.960932008
407	0.9609249782	0.5159135433	0.9609249782
408	0.9610233951	0.5155724646	0.9610233951
409	0.9610936929	0.5152689648	0.9610936929
410	0.9611253269	0.5149645536	0.9611253269
411	0.9612272587	0.5146267914	0.9612272587
412	0.9612975564	0.5142252712	0.9612975564
413	0.9611991396	0.5139533365	0.9611991396
414	0.9614522116	0.513584615	0.9614522116
415	0.9614205776	0.513294981	0.9614205776
416	0.961469786	0.5130170393	0.961469786
417	0.9613783989	0.5127844187	0.9613783989
418	0.9614311222	0.5124236777	0.9614311222
419	0.9614979051	0.5120981586	0.9614979051
420	0.9614486967	0.5117793668	0.9614486967
421	0.9614979051	0.5115072847	0.9614979051
422	0.9616209262	0.5111334462	0.9616209262
423	0.961722858	0.5107068883	0.961722858
424	0.9617509771	0.5104080574	0.9617509771
425	0.9617158282	0.5100984954	0.9617158282
426	0.9618353345	0.5097175277	0.9618353345
427	0.9618564238	0.5094342363	0.9618564238
428	0.96181776	0.5090934079	0.96181776
429	0.9618072154	0.508881496	0.9618072154
430	0.9618704834	0.5086436185	0.9618704834
431	0.9619021174	0.5083246077	0.9619021174
432	0.9619021174	0.5081296215	0.9619021174
433	0.9618986025	0.507865941	0.9618986025
434	0.9618634536	0.5076040973	0.9618634536
435	0.9619407811	0.507296749	0.9619407811
436	0.9619056323	0.5069551337	0.9619056323
437	0.9619337514	0.5066467924	0.9619337514
438	0.9618915727	0.5064309142	0.9618915727
439	0.9618353345	0.5061762193	0.9618353345
440	0.961881028	0.5058517511	0.961881028
441	0.9620286534	0.5054969825	0.9620286534
442	0.9620005343	0.5051990228	0.9620005343
443	0.9619091471	0.5049645702	0.9619091471
444	0.9620532576	0.5046983631	0.9620532576
445	0.9621411298	0.5044062098	0.9621411298
446	0.9621411298	0.5040703832	0.9621411298
447	0.962165734	0.5038001161	0.962165734
448	0.9622395467	0.5035423325	0.9622395467
